APPLICATION_TYPE,AFFILIATION,CLASSIFICATION,USE_CASE,ORGANIZATION,INCOME_AMT,ASK_AMT,IS_SUCCESSFUL
T3,Independent,C2100,Preservation,Trust,0,5000,1
T3,CompanySponsored,C1200,Preservation,Association,0,5000,0
T3,CompanySponsored,C1000,Preservation,Association,0,5000,0
T3,CompanySponsored,C1000,Preservation,Trust,0,5000,1
T3,CompanySponsored,C1000,Preservation,Association,0,5000,0
T3,Independent,C2000,Preservation,Trust,0,5000,0
T3,CompanySponsored,C2000,Preservation,Trust,0,5000,0
T3,Independent,C1000,Preservation,Trust,0,5000,1
T3,Independent,C1270,Preservation,Trust,25000-99999,5000,1
T3,CompanySponsored,C2000,Preservation,Trust,0,5000,0
T3,Independent,C2000,Preservation,Association,0,5000,0
T3,Independent,C1000,Preservation,Trust,0,5000,0
T3,Independent,C2100,Preservation,Trust,0,5000,1
T3,Independent,C1000,Preservation,Trust,0,5000,1
T3,CompanySponsored,C1000,Preservation,Association,0,5000,0
T3,Independent,C1000,Preservation,Trust,100000-499999,39310,1
T3,CompanySponsored,C1200,Preservation,Trust,0,5000,0
T3,Independent,C1000,Preservation,Trust,0,5000,1
T3,Independent,C1200,Preservation,Trust,0,5000,1
T3,Independent,C1000,Preservation,Trust,0,5000,1
T3,Independent,C1280,Preservation,Association,0,5000,1
T3,CompanySponsored,C2100,Preservation,Trust,100000-499999,49152,0
T3,Independent,C2000,Preservation,Trust,0,5000,1
T3,Independent,C1000,Preservation,Trust,0,5000,1
T6,Independent,C3000,ProductDev,Trust,0,5000,1
T4,CompanySponsored,C1000,ProductDev,Association,0,5000,0
T3,Independent,C1000,Preservation,Trust,0,5000,1
T3,Independent,C1000,Preservation,Trust,1-9999,17735,1
T3,Independent,C1000,Preservation,Trust,0,5000,1
T3,Independent,C1000,Preservation,Trust,100000-499999,178702,1
T9,Independent,C1000,ProductDev,Co-operative,10M-50M,61216,1
T5,Independent,C3000,ProductDev,Co-operative,25000-99999,162738,0
T3,Independent,C1000,Preservation,Co-operative,25000-99999,126207,1
T9,Independent,C2000,ProductDev,Co-operative,1M-5M,5000,1
T9,Independent,C1000,ProductDev,Co-operative,10000-24999,275517,1
T3,Independent,C1000,Preservation,Co-operative,25000-99999,1493048,1
T3,Independent,C7000,Preservation,Co-operative,1M-5M,1283358,1
T9,Independent,C1000,ProductDev,Co-operative,1M-5M,1741093,1
T3,Independent,C2000,Preservation,Co-operative,0,5000,1
T3,Independent,C4000,Preservation,Co-operative,0,5000,1
T3,Independent,C1000,Preservation,Co-operative,100000-499999,85337,1
T13,Independent,C1000,Preservation,Co-operative,0,5000,1
T9,Independent,C1000,ProductDev,Co-operative,10M-50M,1707915,1
T3,Independent,C1000,Preservation,Co-operative,0,5000,1
T9,Independent,C1000,ProductDev,Co-operative,10M-50M,16364746,1
T4,Independent,C1000,ProductDev,Co-operative,0,5000,1
T13,Independent,C1000,ProductDev,Co-operative,0,5000,1
T3,Independent,C1000,Preservation,Trust,25000-99999,5000,0
T4,Independent,C2000,ProductDev,Trust,100000-499999,11205,1
T3,Independent,C4000,Preservation,Trust,100000-499999,29541,1
T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
T3,Independent,C2000,Preservation,Trust,0,5000,1
T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
T3,CompanySponsored,C2000,Preservation,Association,0,5000,0
T3,Independent,C2100,Preservation,Trust,1-9999,6342,1
T3,Independent,C7000,Preservation,Trust,0,5000,1
T3,CompanySponsored,C2000,Preservation,Association,0,5000,0
T3,Independent,C1000,Preservation,Trust,0,5000,0
T3,Independent,C1000,Preservation,Trust,100000-499999,329668,0
T3,Independent,C1000,Preservation,Trust,0,5000,1
T3,Independent,C2000,Preservation,Trust,0,5000,1
T3,Family/Parent,C1000,Preservation,Trust,0,5000,1
T3,Independent,C1000,Preservation,Trust,0,5000,1
T3,Independent,C1000,Preservation,Trust,0,5000,1
T3,CompanySponsored,C1000,Preservation,Association,0,5000,1
T3,CompanySponsored,C1000,Preservation,Association,0,5000,1
T3,CompanySponsored,C1000,Preservation,Association,0,5000,1
T3,CompanySponsored,C1000,Preservation,Association,0,5000,1
T3,CompanySponsored,C1000,Preservation,Association,0,5000,1
T3,CompanySponsored,C1000,CommunityServ,Association,100000-499999,165090,1
T3,CompanySponsored,C1000,Preservation,Association,0,5000,1
T3,CompanySponsored,C1000,Preservation,Association,0,5000,1
T3,CompanySponsored,C1000,Preservation,Association,0,5000,1
T3,CompanySponsored,C1000,Preservation,Association,0,5000,1
T3,CompanySponsored,C1000,Preservation,Association,0,5000,1
T3,CompanySponsored,C1000,Preservation,Association,0,5000,1
T3,Independent,C1000,Preservation,Association,0,5000,0
T3,Independent,C1000,Preservation,Trust,100000-499999,263850,0
T3,Independent,C1000,Preservation,Association,0,5000,1
T3,Independent,C2000,Preservation,Association,0,5000,0
T3,Independent,C1000,Preservation,Trust,0,5000,1
T3,Independent,C1000,Preservation,Association,0,5000,1
T3,Independent,C1000,Preservation,Trust,10M-50M,43045137,1
T3,Independent,C1000,Preservation,Trust,25000-99999,49999,1
T3,Independent,C2000,Preservation,Trust,25000-99999,181348,0
T6,Independent,C2000,ProductDev,Association,0,5000,0
T3,Independent,C1000,Preservation,Trust,0,5000,1
T3,Independent,C1000,Preservation,Trust,0,5000,1
T3,CompanySponsored,C2000,Preservation,Association,0,5000,0
T3,Independent,C1000,Preservation,Trust,0,5000,0
T3,CompanySponsored,C2000,Preservation,Trust,0,5000,0
T3,Independent,C1000,Preservation,Trust,0,5000,1
T3,CompanySponsored,C1000,Preservation,Trust,100000-499999,43609,0
T3,Independent,C1000,Preservation,Trust,1-9999,27553,0
T8,CompanySponsored,C1000,Preservation,Association,0,5000,1
T3,Independent,C1200,Preservation,Trust,0,5000,1
T3,Independent,C1700,Preservation,Trust,25000-99999,770040,1
T3,CompanySponsored,C2000,Preservation,Association,0,5000,0
T3,CompanySponsored,C1000,Preservation,Association,0,5000,1
T3,Independent,C7000,Preservation,Trust,1M-5M,1158365,0
T5,CompanySponsored,C3000,ProductDev,Association,25000-99999,40802,1
T7,CompanySponsored,C1000,ProductDev,Trust,0,5000,1
T3,Independent,C1000,Preservation,Association,10000-24999,81911,1
T3,Independent,C1000,Preservation,Trust,100000-499999,217221,0
T3,Independent,C2000,Preservation,Trust,25000-99999,731664,0
T3,Independent,C2000,Preservation,Trust,1M-5M,3184991,0
T3,Independent,C1000,Preservation,Trust,100000-499999,271112,0
T6,Independent,C1000,ProductDev,Trust,0,5000,1
T3,Independent,C4000,Preservation,Trust,0,5000,1
T6,Independent,C2000,ProductDev,Trust,0,5000,1
T3,Independent,C1200,Preservation,Association,0,5000,0
T3,Independent,C1000,Preservation,Trust,0,5000,1
T3,Independent,C1000,Preservation,Trust,25000-99999,400962,0
T3,Independent,C2000,Preservation,Trust,25000-99999,55382,1
T3,Independent,C1000,Preservation,Association,0,5000,0
T3,Independent,C1000,Preservation,Trust,1M-5M,878031,1
T3,Independent,C1000,Preservation,Trust,0,5000,1
T3,Independent,C1000,Preservation,Trust,25000-99999,19204,1
T3,Independent,C1000,Preservation,Trust,0,5000,1
T3,Independent,C1000,Preservation,Trust,0,5000,1
T3,Independent,C1200,Preservation,Trust,0,5000,0
T3,Independent,C1000,Preservation,Trust,25000-99999,45184,1
T3,Independent,C7000,Preservation,Trust,25000-99999,5000,1
T3,Independent,C1000,Preservation,Trust,1M-5M,927839,0
T3,Independent,C2000,Preservation,Trust,0,5000,1
T3,CompanySponsored,C2000,Preservation,Association,0,5000,0
T3,Independent,C1000,Preservation,Trust,0,5000,1
T3,Independent,C1200,Preservation,Trust,0,5000,1
T6,CompanySponsored,C2000,ProductDev,Trust,0,5000,1
T3,CompanySponsored,C1000,Preservation,Association,0,5000,1
T3,CompanySponsored,C2000,Preservation,Association,0,5000,0
T19,CompanySponsored,C1000,Preservation,Association,0,5000,1
T3,Independent,C2000,Preservation,Trust,0,5000,1
T3,Independent,C2000,Preservation,Trust,100000-499999,58448,1
T3,Independent,C1000,Preservation,Trust,100000-499999,5000,0
T3,Independent,C1000,Preservation,Trust,0,5000,1
T3,Independent,C1200,Preservation,Trust,0,5000,1
T3,Independent,C1000,Preservation,Trust,100000-499999,7957061,0
T3,Independent,C1000,Preservation,Association,0,5000,0
T3,Independent,C2000,Preservation,Trust,0,5000,1
T3,CompanySponsored,C2000,Preservation,Trust,1-9999,26680,0
T3,Independent,C2000,Preservation,Trust,0,5000,1
T3,Independent,C1000,Preservation,Co-operative,0,5000,1
T3,Independent,C1000,Heathcare,Trust,10M-50M,5183845,0
T3,Independent,C1000,Preservation,Trust,100000-499999,9255,0
T3,Independent,C1200,Preservation,Trust,0,5000,1
T3,CompanySponsored,C2000,Preservation,Trust,0,5000,0
T3,CompanySponsored,C2100,CommunityServ,Association,0,5000,0
T3,Independent,C1000,Preservation,Corporation,100000-499999,4882152,0
T3,Independent,C1000,Preservation,Trust,100000-499999,242533,0
T3,Independent,C7000,Preservation,Trust,0,5000,1
T3,Independent,C1200,Preservation,Trust,0,5000,1
T3,Independent,C1000,Preservation,Trust,0,5000,1
T3,Independent,C1000,Preservation,Corporation,25000-99999,62059,1
T7,CompanySponsored,C1000,ProductDev,Association,0,5000,1
T7,CompanySponsored,C1000,ProductDev,Trust,0,5000,1
T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
T3,CompanySponsored,C1000,Preservation,Trust,25000-99999,13821,0
T3,Independent,C7100,Preservation,Trust,0,5000,1
T4,CompanySponsored,C3000,ProductDev,Association,0,5000,0
T3,Independent,C1000,Preservation,Trust,0,5000,1
T7,Independent,C1000,ProductDev,Association,0,5000,1
T4,Independent,C1000,ProductDev,Association,0,5000,1
T3,Independent,C1000,Preservation,Trust,0,5000,1
T3,CompanySponsored,C2000,Preservation,Trust,0,5000,0
T3,Independent,C7000,Preservation,Trust,0,5000,1
T5,CompanySponsored,C3000,ProductDev,Association,0,5000,1
T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
T3,Independent,C1000,Preservation,Trust,25000-99999,435757,0
T3,CompanySponsored,C2000,Preservation,Association,0,5000,0
T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
T3,CompanySponsored,C1200,CommunityServ,Trust,0,5000,0
T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
T3,Independent,C1000,Preservation,Trust,0,5000,1
T4,CompanySponsored,C1000,Preservation,Trust,0,5000,0
T3,CompanySponsored,C1000,Preservation,Association,0,5000,0
T3,CompanySponsored,C1200,CommunityServ,Trust,0,5000,0
T3,CompanySponsored,C2000,Preservation,Trust,0,5000,1
T4,Independent,C1000,ProductDev,Association,0,5000,1
T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
T4,CompanySponsored,C3000,ProductDev,Association,0,5000,0
T3,CompanySponsored,C2000,Preservation,Trust,0,5000,1
T3,CompanySponsored,C2000,Preservation,Trust,0,5000,1
T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
T3,CompanySponsored,C1000,CommunityServ,Trust,0,5000,0
T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
T3,CompanySponsored,C2000,Preservation,Trust,0,5000,0
T3,CompanySponsored,C1200,Preservation,Association,0,5000,1
T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
T3,CompanySponsored,C1000,CommunityServ,Trust,0,5000,0
T3,CompanySponsored,C2000,Preservation,Trust,0,5000,0
T3,Independent,C1000,Preservation,Association,25000-99999,733085,1
T3,Independent,C2100,Preservation,Co-operative,25000-99999,25461,1
T3,CompanySponsored,C2000,Preservation,Trust,0,5000,0
T3,Independent,C7200,Preservation,Trust,100000-499999,396368,1
T3,CompanySponsored,C2000,Preservation,Trust,0,5000,0
T3,CompanySponsored,C1200,CommunityServ,Trust,0,5000,0
T3,Independent,C2000,Preservation,Trust,0,5000,1
T3,Independent,C1000,Preservation,Trust,0,5000,1
T6,Independent,C2000,CommunityServ,Trust,100000-499999,293844,1
T3,Independent,C7000,Preservation,Trust,25000-99999,330756,1
T3,CompanySponsored,C1000,CommunityServ,Trust,0,5000,0
T3,CompanySponsored,C1000,CommunityServ,Trust,0,5000,0
T3,CompanySponsored,C1000,CommunityServ,Trust,0,5000,0
T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
T3,CompanySponsored,C2000,Preservation,Trust,0,5000,1
T3,Independent,C1000,Preservation,Trust,100000-499999,11300,1
T4,Independent,C3000,Preservation,Trust,0,5000,1
T3,Independent,C1000,Preservation,Trust,25000-99999,12238,1
T3,Independent,C1000,Preservation,Trust,0,5000,1
T3,Independent,C1000,Preservation,Trust,25000-99999,760440,1
T3,Independent,C1200,Preservation,Trust,0,5000,1
T3,CompanySponsored,C2000,Preservation,Trust,0,5000,1
T3,Independent,C2000,Preservation,Trust,25000-99999,24414,1
T3,Independent,C1000,Preservation,Association,25000-99999,7049,0
T3,Independent,C1000,Preservation,Trust,10000-24999,5000,0
T3,CompanySponsored,C1000,Preservation,Trust,0,5000,1
T3,Independent,C1000,Preservation,Trust,25000-99999,10568,1
T3,CompanySponsored,C2000,Preservation,Trust,25000-99999,31968,0
T3,Independent,C1200,Preservation,Trust,100000-499999,71688,0
T6,Family/Parent,C1000,ProductDev,Trust,1-9999,79466,1
T3,Independent,C1000,Preservation,Trust,0,5000,0
T3,Independent,C1000,Preservation,Trust,0,5000,0
T19,CompanySponsored,C1000,ProductDev,Association,0,5000,0
T3,CompanySponsored,C1200,Preservation,Trust,10000-24999,25270,1
T3,Independent,C2400,Preservation,Trust,0,5000,1
T3,Independent,C1200,Preservation,Association,0,5000,1
T3,Independent,C1000,Preservation,Trust,100000-499999,125960,1
T3,Independent,C1200,Preservation,Trust,100000-499999,505588,1
T3,Independent,C1200,Preservation,Trust,1-9999,76010,1
T3,CompanySponsored,C2000,Preservation,Association,0,5000,0
T6,Independent,C1000,ProductDev,Trust,0,5000,1
T3,Independent,C1000,Preservation,Trust,0,5000,1
T3,CompanySponsored,C2000,Preservation,Trust,0,5000,1
T4,Independent,C1000,ProductDev,Trust,1-9999,186693,1
T8,CompanySponsored,C1000,Preservation,Association,10000-24999,12424,1
T3,CompanySponsored,C1000,Preservation,Association,0,5000,1
T3,Independent,C1000,Preservation,Trust,0,5000,1
T3,Independent,C1000,Preservation,Trust,0,5000,1
T3,Independent,C7000,Preservation,Trust,0,5000,1
T6,Independent,C2000,ProductDev,Trust,0,5000,1
T3,CompanySponsored,C2000,Preservation,Trust,0,5000,0
T3,CompanySponsored,C1200,Preservation,Association,0,5000,0
T3,Independent,C1200,Preservation,Trust,100000-499999,57681,1
T3,Independent,C1000,Preservation,Trust,25000-99999,272763,0
T6,Independent,C2000,ProductDev,Association,0,5000,0
T3,CompanySponsored,C2000,Preservation,Trust,25000-99999,28074,1
T3,CompanySponsored,C2000,Preservation,Trust,0,5000,0
T3,Independent,C2000,Preservation,Trust,0,5000,1
T3,CompanySponsored,C2800,Preservation,Association,0,5000,1
T3,Independent,C1000,Preservation,Trust,0,5000,1
T4,CompanySponsored,C1000,ProductDev,Association,0,5000,0
T19,CompanySponsored,C1000,ProductDev,Association,0,5000,0
T3,CompanySponsored,C2000,Preservation,Trust,0,5000,0
T8,CompanySponsored,C1000,ProductDev,Association,0,5000,0
T19,CompanySponsored,C1000,ProductDev,Association,0,5000,0
T3,Independent,C1000,Preservation,Trust,100000-499999,57957,0
T4,CompanySponsored,C1000,ProductDev,Association,0,5000,0
T3,Independent,C1000,Preservation,Trust,0,5000,1
T3,CompanySponsored,C1200,Preservation,Trust,0,5000,0
T19,CompanySponsored,C1000,ProductDev,Association,0,5000,0
T8,CompanySponsored,C1000,ProductDev,Association,0,5000,0
T19,CompanySponsored,C1000,ProductDev,Association,0,5000,0
T3,Independent,C1000,Preservation,Trust,0,5000,1
T7,CompanySponsored,C1000,ProductDev,Trust,0,5000,1
T3,Independent,C1000,Preservation,Trust,0,5000,1
T19,CompanySponsored,C1000,ProductDev,Association,0,5000,0
T6,CompanySponsored,C1000,ProductDev,Trust,0,5000,1
T3,CompanySponsored,C2100,Preservation,Association,0,5000,0
T8,Independent,C1000,Preservation,Association,0,5000,1
T3,Independent,C4000,Preservation,Association,0,5000,1
T3,CompanySponsored,C2000,Preservation,Trust,0,5000,0
T3,Independent,C2000,Preservation,Trust,0,5000,0
T8,CompanySponsored,C1000,ProductDev,Association,0,5000,0
T19,CompanySponsored,C1000,ProductDev,Association,0,5000,0
T4,CompanySponsored,C1300,ProductDev,Association,0,5000,0
T3,CompanySponsored,C2000,Preservation,Trust,0,5000,0
T3,Independent,C1200,Preservation,Trust,0,5000,1
T3,Independent,C1000,Preservation,Trust,0,5000,0
T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
T3,Independent,C1000,Preservation,Trust,0,5000,0
T3,Independent,C1000,Preservation,Trust,0,5000,0
T8,Independent,C1000,Preservation,Trust,0,5000,1
T3,CompanySponsored,C2000,Preservation,Trust,0,5000,0
T3,CompanySponsored,C2000,Preservation,Trust,0,5000,0
T3,CompanySponsored,C2000,Preservation,Trust,0,5000,0
T3,Independent,C2000,Preservation,Trust,0,5000,0
T3,Independent,C1000,Preservation,Trust,0,5000,1
T3,CompanySponsored,C1200,CommunityServ,Trust,0,5000,1
T3,Independent,C1000,Preservation,Trust,100000-499999,132160,1
T4,Independent,C2000,ProductDev,Association,0,5000,0
T3,Independent,C1200,Preservation,Trust,0,5000,1
T8,Independent,C1000,ProductDev,Association,0,5000,0
T3,Independent,C7100,Preservation,Trust,0,5000,1
T3,CompanySponsored,C2000,Preservation,Trust,0,5000,0
T3,Independent,C1000,Preservation,Trust,0,5000,1
T19,CompanySponsored,C1000,ProductDev,Association,0,5000,1
T3,Independent,C2800,Preservation,Trust,0,5000,1
T3,CompanySponsored,C2000,Preservation,Association,0,5000,0
T3,CompanySponsored,C5000,Preservation,Association,0,5000,0
T3,Independent,C7000,Preservation,Trust,0,5000,1
T3,CompanySponsored,C2000,Preservation,Trust,0,5000,0
T3,Independent,C2000,Preservation,Trust,0,5000,1
T6,Independent,C1000,ProductDev,Trust,1-9999,5000,1
T3,Independent,C1200,Preservation,Trust,1-9999,5000,1
T3,Independent,C1000,Preservation,Trust,0,5000,1
T3,CompanySponsored,C2000,Preservation,Trust,0,5000,0
T3,Independent,C2000,Preservation,Trust,0,5000,1
T19,CompanySponsored,C1000,ProductDev,Association,0,5000,0
T19,CompanySponsored,C1000,ProductDev,Association,0,5000,0
T19,CompanySponsored,C1000,ProductDev,Association,0,5000,0
T3,Independent,C1000,Preservation,Association,0,5000,1
T3,CompanySponsored,C1200,Preservation,Trust,0,5000,0
T7,Independent,C1000,CommunityServ,Trust,0,5000,1
T3,CompanySponsored,C5000,Preservation,Association,0,5000,0
T3,CompanySponsored,C5000,Preservation,Association,0,5000,0
T3,Independent,C1200,Preservation,Trust,0,5000,0
T3,Independent,C1000,Preservation,Trust,0,5000,1
T3,Independent,C1000,Preservation,Trust,0,5000,1
T3,Independent,C1000,Preservation,Trust,0,5000,1
T3,Independent,C4000,Preservation,Trust,1-9999,10027,1
T3,Independent,C2000,Preservation,Trust,0,5000,1
T3,CompanySponsored,C2100,Preservation,Association,0,5000,0
T3,CompanySponsored,C2000,Preservation,Trust,0,5000,0
T3,Independent,C1000,Preservation,Trust,0,5000,1
T19,CompanySponsored,C1000,Preservation,Association,0,5000,0
T3,Independent,C1000,Preservation,Trust,100000-499999,5000,0
T3,Independent,C8000,Preservation,Trust,0,5000,1
T3,Independent,C1200,Preservation,Trust,0,5000,1
T3,Independent,C1000,Preservation,Trust,0,5000,1
T3,CompanySponsored,C2100,Preservation,Association,0,5000,0
T3,Independent,C2000,Preservation,Trust,0,5000,1
T5,CompanySponsored,C3000,ProductDev,Association,0,5000,1
T3,CompanySponsored,C5000,Preservation,Association,0,5000,0
T3,Independent,C1000,Preservation,Trust,0,5000,0
T3,Independent,C1000,Preservation,Association,0,5000,0
T6,Independent,C2000,ProductDev,Trust,0,5000,0
T3,CompanySponsored,C5000,Preservation,Association,0,5000,0
T3,CompanySponsored,C1000,Preservation,Association,0,5000,1
T3,Independent,C1000,Preservation,Trust,0,5000,0
T3,CompanySponsored,C5000,Preservation,Association,0,5000,0
T3,CompanySponsored,C2000,Preservation,Association,0,5000,0
T3,Independent,C4000,Preservation,Trust,0,5000,1
T3,Independent,C1000,Preservation,Trust,100000-499999,29043,1
T3,Independent,C2000,Preservation,Trust,0,5000,1
T3,CompanySponsored,C2000,Preservation,Trust,0,5000,0
T3,Independent,C2000,Preservation,Trust,0,5000,0
T3,Independent,C1200,Preservation,Trust,10000-24999,152060,0
T9,Independent,C1000,ProductDev,Trust,25000-99999,258558,1
T3,CompanySponsored,C1200,Preservation,Association,0,5000,0
T19,CompanySponsored,C1000,ProductDev,Association,0,5000,0
T7,CompanySponsored,C1000,ProductDev,Association,0,5000,0
T3,Independent,C2100,Preservation,Trust,0,5000,0
T4,CompanySponsored,C3000,ProductDev,Association,0,5000,0
T3,Independent,C1000,Preservation,Trust,0,5000,1
T3,Independent,C1000,Preservation,Trust,0,5000,1
T3,CompanySponsored,C1000,Preservation,Trust,25000-99999,35915,1
T3,Independent,C1000,Preservation,Trust,0,5000,1
T3,Independent,C2000,Preservation,Association,0,5000,1
T3,CompanySponsored,C1200,Preservation,Trust,0,5000,0
T3,Independent,C1000,Preservation,Trust,0,5000,1
T4,CompanySponsored,C3000,Preservation,Association,0,5000,1
T19,CompanySponsored,C1000,ProductDev,Association,0,5000,0
T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
T3,Independent,C1700,Preservation,Trust,0,5000,1
T3,Independent,C1200,Preservation,Trust,0,5000,1
T3,CompanySponsored,C2000,Preservation,Trust,0,5000,1
T3,Independent,C1000,Preservation,Association,0,5000,0
T3,Independent,C1000,Preservation,Trust,0,5000,1
T3,Independent,C1000,Preservation,Trust,100000-499999,187370,1
T3,CompanySponsored,C1200,Preservation,Trust,0,5000,0
T3,CompanySponsored,C2000,Preservation,Trust,0,5000,0
T3,Independent,C1000,Preservation,Trust,0,5000,0
T3,CompanySponsored,C2000,Preservation,Trust,0,5000,0
T3,Independent,C1000,Preservation,Trust,100000-499999,198829,1
T4,CompanySponsored,C2000,ProductDev,Association,0,5000,1
T6,Independent,C2000,ProductDev,Trust,0,5000,0
T3,Independent,C1000,Preservation,Association,0,5000,1
T3,Independent,C2100,Preservation,Trust,100000-499999,16630,1
T3,CompanySponsored,C2100,Preservation,Association,0,5000,0
T3,CompanySponsored,C1000,ProductDev,Association,100000-499999,116093,1
T3,CompanySponsored,C1000,Preservation,Trust,0,5000,1
T3,CompanySponsored,C1200,Preservation,Association,0,5000,1
T3,CompanySponsored,C1000,Preservation,Association,0,5000,0
T3,Independent,C1000,Preservation,Trust,100000-499999,41894,1
T3,Independent,C1000,Preservation,Trust,10000-24999,5000,1
T3,Independent,C1000,Preservation,Trust,0,5000,1
T3,CompanySponsored,C2000,Preservation,Association,0,5000,0
T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
T3,Independent,C1000,Preservation,Trust,0,5000,1
T8,CompanySponsored,C1000,ProductDev,Association,0,5000,0
T3,CompanySponsored,C1200,Preservation,Association,0,5000,1
T3,CompanySponsored,C2100,Preservation,Trust,0,5000,0
T3,Independent,C1000,Preservation,Trust,0,5000,1
T3,Independent,C1000,Preservation,Trust,0,5000,1
T7,CompanySponsored,C1000,ProductDev,Association,0,5000,1
T19,Independent,C1000,Preservation,Association,0,5000,1
T3,CompanySponsored,C1000,Preservation,Association,0,5000,0
T3,Independent,C1000,Preservation,Trust,0,5000,1
T10,CompanySponsored,C1000,Preservation,Association,0,5000,1
T3,Independent,C1000,Preservation,Trust,0,5000,0
T6,CompanySponsored,C3000,ProductDev,Association,0,5000,1
T10,CompanySponsored,C1000,Preservation,Association,0,5000,1
T3,Independent,C1000,Preservation,Trust,0,5000,1
T10,CompanySponsored,C1000,Preservation,Association,0,5000,1
T19,CompanySponsored,C1000,ProductDev,Association,0,5000,0
T3,CompanySponsored,C2100,Preservation,Association,0,5000,0
T3,CompanySponsored,C1000,Preservation,Trust,0,5000,0
T3,Independent,C1000,Preservation,Trust,0,5000,1
T3,CompanySponsored,C2000,Preservation,Association,0,5000,0
T4,CompanySponsored,C3000,ProductDev,Association,0,5000,0
T3,Independent,C1000,Preservation,Trust,0,5000,1
T3,CompanySponsored,C1200,Preservation,Association,0,5000,0
T3,Independent,C1000,Preservation,Trust,0,5000,1
T4,CompanySponsored,C3000,ProductDev,Association,0,5000,0
T3,Independent,C7000,Preservation,Trust,0,5000,1
T10,CompanySponsored,C1000,Preservation,Association,0,5000,1
T3,CompanySponsored,C2000,Preservation,Trust,0,5000,0
T10,CompanySponsored,C1000,Preservation,Association,0,5000,1
T4,CompanySponsored,C3000,ProductDev,Association,0,5000,0
T3,CompanySponsored,C7000,Preservation,Trust,0,5000,1
T3,Independent,C1000,Preservation,Trust,0,5000,1
T3,CompanySponsored,C1200,Preservation,Trust,0,5000,0
T3,Independent,C1000,Preservation,Trust,0,5000,1
T3,Independent,C1000,Preservation,Trust,0,5000,1
T3,CompanySponsored,C1200,Preservation,Trust,10000-24999,5000,0
T3,Independent,C1000,Preservation,Trust,25000-99999,7081,1
T3,Independent,C1000,Preservation,Trust,0,5000,1
T3,CompanySponsored,C5000,Preservation,Association,0,5000,0
T3,Independent,C1000,Preservation,Trust,0,5000,1
T3,CompanySponsored,C2000,Preservation,Trust,0,5000,0
T3,CompanySponsored,C2100,Preservation,Trust,100000-499999,11917,0
T3,Independent,C1000,Preservation,Association,0,5000,1
T12,Independent,C2000,ProductDev,Trust,100000-499999,11792184,1
T3,CompanySponsored,C5000,Preservation,Association,0,5000,0
T5,Independent,C3000,ProductDev,Association,1-9999,5000,1
T3,CompanySponsored,C2100,Preservation,Association,0,5000,0
T3,Independent,C7000,Preservation,Trust,0,5000,1
T3,CompanySponsored,C1200,Preservation,Trust,0,5000,0
T3,Independent,C1000,Preservation,Trust,1-9999,7907,1
T6,Independent,C1000,ProductDev,Trust,0,5000,1
T3,CompanySponsored,C2100,Preservation,Association,0,5000,0
T3,CompanySponsored,C1000,Preservation,Trust,0,5000,1
T3,Independent,C1000,Preservation,Trust,0,5000,1
T4,Independent,C3000,ProductDev,Trust,0,5000,1
T3,Independent,C2000,Preservation,Trust,0,5000,1
T3,Independent,C1000,Preservation,Trust,0,5000,1
T3,CompanySponsored,C2100,Preservation,Trust,0,5000,0
T3,Independent,C1000,Preservation,Trust,100000-499999,66567,1
T3,CompanySponsored,C1200,Preservation,Trust,0,5000,0
T5,Independent,C2000,ProductDev,Trust,0,5000,1
T3,Independent,C2000,Preservation,Trust,25000-99999,37489,0
T3,Independent,C1000,Preservation,Trust,0,5000,1
T3,Independent,C2000,Preservation,Trust,100000-499999,5000,1
T3,CompanySponsored,C1200,Preservation,Trust,0,5000,0
T3,CompanySponsored,C1200,Preservation,Trust,0,5000,0
T3,Independent,C1000,Preservation,Trust,25000-99999,6803,1
T3,Independent,C1000,Preservation,Trust,0,5000,1
T4,Independent,C1000,ProductDev,Trust,0,5000,1
T3,Independent,C1000,Preservation,Trust,0,5000,1
